keys,en,de,fr
XSTR_424,Restricted,(gr)Restricted,(fr)Restricted
XSTR_425,Allow Rank,(gr)Allow Rank,(fr)Allow Rank
XSTR_426,Or Below,(gr)Or Below,(fr)Or Below
XSTR_427,Or Above,(gr)Or Above,(fr)Or Above
XSTR_428,Title,(gr)Title,(fr)Title
XSTR_429,Game Type,(gr)Game Type,(fr)Game Type
XSTR_430,@Launch,(gr)@Launch,(fr)@Launch
XSTR_431,Multi,(gr)Multi,(fr)Multi
XSTR_432,Detail,(gr)Detail,(fr)Detail
XSTR_433,Exit Game,(gr)Exit Game,(fr)Exit Game
XSTR_434,Controls Config,(gr)Controls Config,(fr)Controls Config
XSTR_435,Very High,(gr)Very High,(fr)Very High
XSTR_436,Custom,(gr)Custom,(fr)Custom
XSTR_437,Engine Glow,(gr)Engine Glow,(fr)Engine Glow
XSTR_438,off,(gr)off,(fr)off
XSTR_439,on,(gr)on,(fr)on
XSTR_440,Nebulas,(gr)Nebulas,(fr)Nebulas
XSTR_441,Target View Rendering,(gr)Target View Rendering,(fr)Target View Rendering
XSTR_442,Effects Alpha Blending,(gr)Effects Alpha Blending,(fr)Effects Alpha Blending
XSTR_443,Preset Detail Levels,(gr)Preset Detail Levels,(fr)Preset Detail Levels
XSTR_444,Model Detail,(gr)Model Detail,(fr)Model Detail
XSTR_445,Model Update,(gr)Model Update,(fr)Model Update
XSTR_446,3D Hardware Textures,(gr)3D Hardware Textures,(fr)3D Hardware Textures
XSTR_447,Weapon Rendering,(gr)Weapon Rendering,(fr)Weapon Rendering
XSTR_448,Impact Effects,(gr)Impact Effects,(fr)Impact Effects
XSTR_449,Shield Hit Effect,(gr)Shield Hit Effect,(fr)Shield Hit Effect
XSTR_450,Stars,(gr)Stars,(fr)Stars
XSTR_451,Particles,(gr)Particles,(fr)Particles
XSTR_452,Lighting,(gr)Lighting,(fr)Lighting
XSTR_453,Briefing Voice,(gr)Briefing Voice,(fr)Briefing Voice
XSTR_454,Volume,(gr)Volume,(fr)Volume
XSTR_455,Effects,(gr)Effects,(fr)Effects
XSTR_456,Music,(gr)Music,(fr)Music
XSTR_457,Voice,(gr)Voice,(fr)Voice
XSTR_458,Joystick,(gr)Joystick,(fr)Joystick
XSTR_459,Sensitivity,(gr)Sensitivity,(fr)Sensitivity
XSTR_460,Dead Zone,(gr)Dead Zone,(fr)Dead Zone
XSTR_461,Mouse,(gr)Mouse,(fr)Mouse
XSTR_462,Add,(gr)Add,(fr)Add
XSTR_463,Yes,(gr)Yes,(fr)Yes
XSTR_464,No,(gr)No,(fr)No
XSTR_465,VMT,(gr)VMT,(fr)VMT
XSTR_466,General,(gr)General,(fr)General
XSTR_467,/Multidata,(gr)/Multidata,(fr)/Multidata
XSTR_468,/Missions,(gr)/Missions,(fr)/Missions
XSTR_469,Never,(gr)Never,(fr)Never
XSTR_470,Before Game,(gr)Before Game,(fr)Before Game
XSTR_471,IP Address,(gr)IP Address,(fr)IP Address
XSTR_472,Broadcast Locally,(gr)Broadcast Locally,(fr)Broadcast Locally
XSTR_473,Login,(gr)Login,(fr)Login
XSTR_474,Password,(gr)Password,(fr)Password
XSTR_475,Object Update,(gr)Object Update,(fr)Object Update
XSTR_476,Pilot / Squad Images,(gr)Pilot / Squad Images,(fr)Pilot / Squad Images
XSTR_477,Transfer Missions,(gr)Transfer Missions,(fr)Transfer Missions
XSTR_478,Flush Cache,(gr)Flush Cache,(fr)Flush Cache
XSTR_479,Mute,(gr)Mute,(fr)Mute
XSTR_480,Mic Test,(gr)Mic Test,(fr)Mic Test
XSTR_481,Quality,(gr)Quality,(fr)Quality
XSTR_482,Ignore,(gr)Ignore,(fr)Ignore
XSTR_483,Enter Password,(gr)Enter Password,(fr)Enter Password
XSTR_484,Exit Mission,(gr)Exit Mission,(fr)Exit Mission
XSTR_485,Mission Paused,(gr)Mission Paused,(fr)Mission Paused
XSTR_486,Stats,(gr)Stats,(fr)Stats
XSTR_487,Available Ships,(gr)Available Ships,(fr)Available Ships
XSTR_488,Type,(gr)Type,(fr)Type
XSTR_489,Length,(gr)Length,(fr)Length
XSTR_490,Max Velocity,(gr)Max Velocity,(fr)Max Velocity
XSTR_491,Maneuverability,(gr)Maneuverability,(fr)Maneuverability
XSTR_492,Armor,(gr)Armor,(fr)Armor
XSTR_493,Gun Mounts,(gr)Gun Mounts,(fr)Gun Mounts
XSTR_494,Missile Banks,(gr)Missile Banks,(fr)Missile Banks
XSTR_495,Manufacturer,(gr)Manufacturer,(fr)Manufacturer
XSTR_496,@ship_name,(gr)@ship_name,(fr)@ship_name
XSTR_497,@ship_Type,(gr)@ship_Type,(fr)@ship_Type
XSTR_498,@ship_Maneuverability,(gr)@ship_Maneuverability,(fr)@ship_Maneuverability
XSTR_499,@ship_Armor,(gr)@ship_Armor,(fr)@ship_Armor
XSTR_500,@ship_Manufacturer,(gr)@ship_Manufacturer,(fr)@ship_Manufacturer
XSTR_501,@ship_desc,(gr)@ship_desc,(fr)@ship_desc
XSTR_502,Lock Players,(gr)Lock Players,(fr)Lock Players
XSTR_503,Ship Information,(gr)Ship Information,(fr)Ship Information
XSTR_504,Alpha,(gr)Alpha,(fr)Alpha
XSTR_505,Beta,(gr)Beta,(fr)Beta
XSTR_506,Gamma,(gr)Gamma,(fr)Gamma
XSTR_507,Ships,(gr)Ships,(fr)Ships
XSTR_508,Species,(gr)Species,(fr)Species
XSTR_509,GTA Technical Database,(gr)GTA Technical Database,(fr)GTA Technical Database
XSTR_510,Play,(gr)Play,(fr)Play
XSTR_511,Cutscene Description,(gr)Cutscene Description,(fr)Cutscene Description
XSTR_512,@weapon_name,(gr)@weapon_name,(fr)@weapon_name
XSTR_513,@weapon_desc,(gr)@weapon_desc,(fr)@weapon_desc
XSTR_514,"Willfully firing on allied ships is a capital offense, punishable by death.  You are hereby stripped of your rank and your citizenship in the GTA.  You will appear at 0700 hours at the League of Defense Justice Ministry for your court martial.","(gr)Willfully firing on allied ships is a capital offense, punishable by death.  You are hereby stripped of your rank and your citizenship in the GTA.  You will appear at 0700 hours at the League of Defense Justice Ministry for your court martial.","(fr)Willfully firing on allied ships is a capital offense, punishable by death.  You are hereby stripped of your rank and your citizenship in the GTA.  You will appear at 0700 hours at the League of Defense Justice Ministry for your court martial."
XSTR_515,Don't fire upon friendly ships.,(gr)Don't fire upon friendly ships.,(fr)Don't fire upon friendly ships.
XSTR_516,GTW ML-16 Laser,(gr)GTW ML-16 Laser,(fr)GTW ML-16 Laser
XSTR_519,GTW-41 Disruptor Cannon,(gr)GTW-41 Disruptor Cannon,(fr)GTW-41 Disruptor Cannon
XSTR_522,GTW-41x Advanced Disruptor,(gr)GTW-41x Advanced Disruptor,(fr)GTW-41x Advanced Disruptor
XSTR_525,GTW-15 Avenger Cannon,(gr)GTW-15 Avenger Cannon,(fr)GTW-15 Avenger Cannon
XSTR_528,GTW-32 Flail Rifle,(gr)GTW-32 Flail Rifle,(fr)GTW-32 Flail Rifle
XSTR_531,GTW-5 Prometheus Cannon,(gr)GTW-5 Prometheus Cannon,(fr)GTW-5 Prometheus Cannon
XSTR_534,GTW-7 Banshee,(gr)GTW-7 Banshee,(fr)GTW-7 Banshee
XSTR_537,GTW-99 Shield Breaker,(gr)GTW-99 Shield Breaker,(fr)GTW-99 Shield Breaker
XSTR_540,GTW-43 Leech Cannon,(gr)GTW-43 Leech Cannon,(fr)GTW-43 Leech Cannon
XSTR_542,GTM MX-50,(gr)GTM MX-50,(fr)GTM MX-50
XSTR_545,GTM-31 Disruptor Missile,(gr)GTM-31 Disruptor Missile,(fr)GTM-31 Disruptor Missile
XSTR_548,GTM-3 Fury Missile,(gr)GTM-3 Fury Missile,(fr)GTM-3 Fury Missile
XSTR_551,GTM-4 Hornet Swarm Missile,(gr)GTM-4 Hornet Swarm Missile,(fr)GTM-4 Hornet Swarm Missile
XSTR_554,GTM-9 Interceptor,(gr)GTM-9 Interceptor,(fr)GTM-9 Interceptor
XSTR_557,GTM Phoenix V,(gr)GTM Phoenix V,(fr)GTM Phoenix V
XSTR_560,GTM-1 Synaptic Bomb,(gr)GTM-1 Synaptic Bomb,(fr)GTM-1 Synaptic Bomb
XSTR_563,GTM-43 Stiletto,(gr)GTM-43 Stiletto,(fr)GTM-43 Stiletto
XSTR_566,GTM-86 Cluster Bomb,(gr)GTM-86 Cluster Bomb,(fr)GTM-86 Cluster Bomb
XSTR_569,GTM-3 Tsunami Bomb,(gr)GTM-3 Tsunami Bomb,(fr)GTM-3 Tsunami Bomb
XSTR_572,GTM-N1 Harbinger Bomb,(gr)GTM-N1 Harbinger Bomb,(fr)GTM-N1 Harbinger Bomb
XSTR_575,GTM-11 EM Pulse,(gr)GTM-11 EM Pulse,(fr)GTM-11 EM Pulse
XSTR_578,GTM-84 Corkscrew Missile,(gr)GTM-84 Corkscrew Missile,(fr)GTM-84 Corkscrew Missile
XSTR_579,Wacky fun corkscrew missiles,(gr)Wacky fun corkscrew missiles,(fr)Wacky fun corkscrew missiles
XSTR_580,Developed by the GTI for Silent Threat. Deemed too wacky for final release.,(gr)Developed by the GTI for Silent Threat. Deemed too wacky for final release.,(fr)Developed by the GTI for Silent Threat. Deemed too wacky for final release.
"When you see Kilrathi stealth fighters, be careful. When you don't see them, be twice as careful. ","When you see Kilrathi stealth fighters, be careful. When you don't see them, be twice as careful. ",,
"Mortally wounded Kilrathi fighters might try to kamikaze with you. Try staying out of their way, if possible.","Mortally wounded Kilrathi fighters might try to kamikaze with you. Try staying out of their way, if possible.",,
"Capship Anti-Matter batteries typically aren't fast enough to target you, but their tachyon batteries can. They are the white bolts that strip away your shields after a few hits.","Capship Anti-Matter batteries typically aren't fast enough to target you, but their tachyon batteries can. They are the white bolts that strip away your shields after a few hits.",,
Getting hit by missiles is a bad thing. ,Getting hit by missiles is a bad thing. ,,
Please try to keep your wingmen alive. It gives the Kilrathi another target to shoot at.,Please try to keep your wingmen alive. It gives the Kilrathi another target to shoot at.,,
Incoming fire works both ways.,Incoming fire works both ways.,,
"Attacking heavy fighters and torpedo bombers from the rear probably isn't the best approach of attack, since they got rear turrets and all.","Attacking heavy fighters and torpedo bombers from the rear probably isn't the best approach of attack, since they got rear turrets and all.",,
"Take care of your capship, and your capship will take care of you.","Take care of your capship, and your capship will take care of you.",,
"If your radar is jammed, there's probably an electronic warfare craft loitering around.","If your radar is jammed, there's probably an electronic warfare craft loitering around.",,
The Kilrathi is never as dumb as you hoped.,The Kilrathi is never as dumb as you hoped.,,
There is no such thing as too many missiles.,There is no such thing as too many missiles.,,
There are never enough decoys.,There are never enough decoys.,,
"Enemy capships have point defense systems that can shoot down torpedoes. Release your warheads appropriately. Oh, and try not to get caught up in the blast will ya?","Enemy capships have point defense systems that can shoot down torpedoes. Release your warheads appropriately. Oh, and try not to get caught up in the blast will ya?",,
"Kilrathi Aces are generally not social and friendly folk, and should be treated accordingly.","Kilrathi Aces are generally not social and friendly folk, and should be treated accordingly.",,
"When you see a Kilrathi dreadnought, RUN!","When you see a Kilrathi dreadnought, RUN!",,
"If you spend way too much time trying to chase down a light fighter, chances are his buddy is sneaking up on you.","If you spend way too much time trying to chase down a light fighter, chances are his buddy is sneaking up on you.",,
"If you're in a light fighter, don't fight head on with a heavy fighter. You won't win.","If you're in a light fighter, don't fight head on with a heavy fighter. You won't win.",,
"If the Kilrathi are in missile range, so are you!","If the Kilrathi are in missile range, so are you!",,
The easy nav route is always mined.,The easy nav route is always mined.,,
All warfare is based on deception. The main challenge is being able to fool the Kilrathi and not yourself.,All warfare is based on deception. The main challenge is being able to fool the Kilrathi and not yourself.,,
Your shields failing is usually a sign that you're being fired upon.,Your shields failing is usually a sign that you're being fired upon.,,
"The bigger the carrier, the more torpedoes the Kilrathi will launch at it.","The bigger the carrier, the more torpedoes the Kilrathi will launch at it.",,
"Don't think of it as being outnumbered, Think of it as having a wider target selection.","Don't think of it as being outnumbered, Think of it as having a wider target selection.",,
A retreating Kilrathi squadron is really falling back and regrouping... and calling in for backup.,A retreating Kilrathi squadron is really falling back and regrouping... and calling in for backup.,,
"When you have plenty of missiles, you never miss. When you're low on missiles, you can't hit the broadside of a dreadnought.","When you have plenty of missiles, you never miss. When you're low on missiles, you can't hit the broadside of a dreadnought.",,
"There's always a way to defeat the Kilrathi, and it normally doesn't work.","There's always a way to defeat the Kilrathi, and it normally doesn't work.",,
Ejecting right before the Kilrathi destroys your fighter typically means you have 10 more seconds to live.,Ejecting right before the Kilrathi destroys your fighter typically means you have 10 more seconds to live.,,
The cavalry doesn't always come to the rescue.,The cavalry doesn't always come to the rescue.,,
The capship that usually blows up when you need it most is the carrier.,The capship that usually blows up when you need it most is the carrier.,,
"If your ambush is properly set, the Kilrathi won't fly into it.","If your ambush is properly set, the Kilrathi won't fly into it.",,
"If your attack is going well, it is an ambush.","If your attack is going well, it is an ambush.",,
"When unsure of the enemy fighter's location, look behind you.","When unsure of the enemy fighter's location, look behind you.",,
The Kilrathi always attacks on two occasions. One is when you're ready. The second is when you aren't.,The Kilrathi always attacks on two occasions. One is when you're ready. The second is when you aren't.,,
Try to look unimportant. They may be low on missiles.,Try to look unimportant. They may be low on missiles.,,
"Anything you do can get you killed, including nothing.","Anything you do can get you killed, including nothing.",,
"The only thing more accurate then incoming enemy fire, is incoming friendly fire.","The only thing more accurate then incoming enemy fire, is incoming friendly fire.",,
No combat ready squadron has passed inspection.,No combat ready squadron has passed inspection.,,
No inspection ready squadron has passed combat.,No inspection ready squadron has passed combat.,,
Shipkiller torpedoes are very accurate. They always hit the Kilrathi's point defense laser blasts.,Shipkiller torpedoes are very accurate. They always hit the Kilrathi's point defense laser blasts.,,
"Don't look conspicuous, it draws fire.","Don't look conspicuous, it draws fire.",,
Never draw fire. It irritates everyone around you.,Never draw fire. It irritates everyone around you.,,
"If you're short of everything but the enemy, you're in a combat zone.","If you're short of everything but the enemy, you're in a combat zone.",,
Friendly fire isn't.,Friendly fire isn't.,,
Incoming fire has the right of way.,Incoming fire has the right of way.,,
Your fighter was bought by the lowest bidder.,Your fighter was bought by the lowest bidder.,,
WING COMMANDER SAGA: THE DARKEST DAWN,WING COMMANDER SAGA: THE DARKEST DAWN,,
Producers,Producers,,
Technical Managers,Technical Managers,,
Lead Writer,Lead Writer,,
Writers,Writers,,
Assisting Writers,Assisting Writers,,
Lead Mission Designer,Lead Mission Designer,,
Mission Designer,Mission Designer,,
Assisting Mission Designers,Assisting Mission Designers,,
Lead Programmer,Lead Programmer,,
Programmer,Programmer,,
Lead 3D Artist,Lead 3D Artist,,
3D Artists,3D Artists,,
Assisting 3D Artists,Assisting 3D Artists,,
Lead 2D Artist,Lead 2D Artist,,
2D Artists,2D Artists,,
Assisting 2D Artists,Assisting 2D Artists,,
Lead Cinematic Animator,Lead Cinematic Animator,,
Cinematic Animators,Cinematic Animators,,
Lead Audio Designer,Lead Audio Designer,,
Audio Designers,Audio Designers,,
Lead Composers,Lead Composers,,
Composers,Composers,,
Assisting Composer,Assisting Composer,,
Voice Casting Coordinator,Voice Casting Coordinator,,
Dialog Project Manager,Dialog Project Manager,,
Additional Artwork,Additional Artwork,,
Lead Quality Assurance Manager,Lead Quality Assurance Manager,,
Quality Assurance Manager,Quality Assurance Manager,,
Lead Quality Assurance Tester,Lead Quality Assurance Tester,,
Quality Assurance Testers,Quality Assurance Testers,,
Lead Community Manager,Lead Community Manager,,
Community Manager,Community Manager,,
Wing Commander Saga Cast,Wing Commander Saga Cast,,
David 'Sandman' Markham,David 'Sandman' Markham,,
Kenny 'Kettle' Baws,Kenny 'Kettle' Baws,,
John 'Little John' Gerhardt,John 'Little John' Gerhardt,,
Shane 'Ranger' Walker,Shane 'Ranger' Walker,,
Jason 'Codiene' Delaney,Jason 'Codiene' Delaney,,
Johann 'Mastermind' Ramius,Johann 'Mastermind' Ramius,,
Nick 'Venom' Jones,Nick 'Venom' Jones,,
William 'Tresh' Klier,William 'Tresh' Klier,,
Marcus 'Viking' Snyder,Marcus 'Viking' Snyder,,
Jonathan 'Assassin' Chaplin,Jonathan 'Assassin' Chaplin,,
Alec 'Ninja' Crisologo,Alec 'Ninja' Crisologo,,
Justin 'Phalanx' Sanger,Justin 'Phalanx' Sanger,,
Danny 'Psychopath' Liu,Danny 'Psychopath' Liu,,
Bradley 'Avatarr' Alistar,Bradley 'Avatarr' Alistar,,
Robert 'Greywolf' McDermott,Robert 'Greywolf' McDermott,,
Haley 'Honeybear' Hasselbeck,Haley 'Honeybear' Hasselbeck,,
Gregory 'M.D.' House,Gregory 'M.D.' House,,
Marianne 'Twilight' Anderson,Marianne 'Twilight' Anderson,,
Jessica 'Valkyrie' Wagner,Jessica 'Valkyrie' Wagner,,
Kramm 'Deathfang' nar Caxki,Kramm 'Deathfang' nar Caxki,,
Kate Sweeney,Kate Sweeney,,
Michael Moran,Michael Moran,,
John 'Jack' Rumley III,John 'Jack' Rumley III,,
Additional voices,Additional voices,,
Wing Commander Saga Special Thanks,Wing Commander Saga Special Thanks,,
Very Special Thanks,Very Special Thanks,,
Very Very Special Thanks,Very Very Special Thanks,,
All marks and trademarks are the property of their respective owners.,All marks and trademarks are the property of their respective owners.,,
